round,accuracy,loss,bytes_received,bytes_sent,timestamp
1,-1,-1,220,220,2026-01-04 16:37:25.769213
2,-1,-1,220,220,2026-01-04 16:37:25.804720
3,-1,-1,220,220,2026-01-04 16:37:25.846990
4,-1,-1,220,220,2026-01-04 16:37:25.900582
5,-1,-1,220,220,2026-01-04 16:37:25.937433
6,-1,-1,220,220,2026-01-04 16:37:25.967232
7,-1,-1,220,220,2026-01-04 16:37:26.007046
8,-1,-1,220,220,2026-01-04 16:37:26.039949
9,-1,-1,220,220,2026-01-04 16:37:26.067273
10,-1,-1,220,220,2026-01-04 16:37:26.102757
11,-1,-1,220,220,2026-01-04 16:37:26.128323
12,-1,-1,220,220,2026-01-04 16:37:26.164777
13,-1,-1,220,220,2026-01-04 16:37:26.199792
14,-1,-1,220,220,2026-01-04 16:37:26.244545
15,-1,-1,220,220,2026-01-04 16:37:26.267719
16,-1,-1,220,220,2026-01-04 16:37:26.295730
17,-1,-1,220,220,2026-01-04 16:37:26.321465
18,-1,-1,220,220,2026-01-04 16:37:26.348346
19,-1,-1,220,220,2026-01-04 16:37:26.393749
20,-1,-1,220,220,2026-01-04 16:37:26.428388
21,-1,-1,220,220,2026-01-04 16:37:26.462227
22,-1,-1,220,220,2026-01-04 16:37:26.496363
23,-1,-1,220,220,2026-01-04 16:37:26.536925
24,-1,-1,220,220,2026-01-04 16:37:26.568819
25,-1,-1,220,220,2026-01-04 16:37:26.602633
26,-1,-1,220,220,2026-01-04 16:37:26.638422
27,-1,-1,220,220,2026-01-04 16:37:26.671543
28,-1,-1,220,220,2026-01-04 16:37:26.714995
29,-1,-1,220,220,2026-01-04 16:37:26.765929
30,-1,-1,220,220,2026-01-04 16:37:26.825780
31,-1,-1,220,220,2026-01-04 16:37:26.855855
32,-1,-1,220,220,2026-01-04 16:37:26.916615
33,-1,-1,220,220,2026-01-04 16:37:26.951784
34,-1,-1,220,220,2026-01-04 16:37:26.989839
35,-1,-1,220,220,2026-01-04 16:37:27.015173
36,-1,-1,220,220,2026-01-04 16:37:27.047523
37,-1,-1,220,220,2026-01-04 16:37:27.096481
38,-1,-1,220,220,2026-01-04 16:37:27.130534
39,-1,-1,220,220,2026-01-04 16:37:27.170161
40,-1,-1,220,220,2026-01-04 16:37:27.212611
41,-1,-1,220,220,2026-01-04 16:37:27.261638
42,-1,-1,220,220,2026-01-04 16:37:27.298516
43,-1,-1,220,220,2026-01-04 16:37:27.326863
44,-1,-1,220,220,2026-01-04 16:37:27.385872
45,-1,-1,220,220,2026-01-04 16:37:27.421926
46,-1,-1,220,220,2026-01-04 16:37:27.455801
47,-1,-1,220,220,2026-01-04 16:37:27.487484
48,-1,-1,220,220,2026-01-04 16:37:27.517901
49,-1,-1,220,220,2026-01-04 16:37:27.551381
50,-1,-1,220,220,2026-01-04 16:37:27.576771
51,-1,-1,220,220,2026-01-04 16:37:27.610609
52,-1,-1,220,220,2026-01-04 16:37:27.654954
53,-1,-1,220,220,2026-01-04 16:37:27.695548
54,-1,-1,220,220,2026-01-04 16:37:27.735630
55,-1,-1,220,220,2026-01-04 16:37:27.767870
56,-1,-1,220,220,2026-01-04 16:37:27.814888
57,-1,-1,220,220,2026-01-04 16:37:27.857619
58,-1,-1,220,220,2026-01-04 16:37:27.921914
59,-1,-1,220,220,2026-01-04 16:37:27.970455
60,-1,-1,220,220,2026-01-04 16:37:28.009851
61,-1,-1,220,220,2026-01-04 16:37:28.047479
62,-1,-1,220,220,2026-01-04 16:37:28.086297
63,-1,-1,220,220,2026-01-04 16:37:28.111172
64,-1,-1,220,220,2026-01-04 16:37:28.166733
65,-1,-1,220,220,2026-01-04 16:37:28.215778
66,-1,-1,220,220,2026-01-04 16:37:28.265660
67,-1,-1,220,220,2026-01-04 16:37:28.299519
68,-1,-1,220,220,2026-01-04 16:37:28.335416
69,-1,-1,220,220,2026-01-04 16:37:28.391629
70,-1,-1,220,220,2026-01-04 16:37:28.438487
71,-1,-1,220,220,2026-01-04 16:37:28.477868
72,-1,-1,220,220,2026-01-04 16:37:28.527113
73,-1,-1,220,220,2026-01-04 16:37:28.559572
74,-1,-1,220,220,2026-01-04 16:37:28.593587
75,-1,-1,220,220,2026-01-04 16:37:28.631153
76,-1,-1,220,220,2026-01-04 16:37:28.655943
77,-1,-1,220,220,2026-01-04 16:37:28.696689
78,-1,-1,220,220,2026-01-04 16:37:28.738412
79,-1,-1,220,220,2026-01-04 16:37:28.784954
80,-1,-1,220,220,2026-01-04 16:37:28.823690
81,-1,-1,220,220,2026-01-04 16:37:28.846656
82,-1,-1,220,220,2026-01-04 16:37:28.881613
83,-1,-1,220,220,2026-01-04 16:37:28.920234
84,-1,-1,220,220,2026-01-04 16:37:28.959457
85,-1,-1,220,220,2026-01-04 16:37:28.996196
86,-1,-1,220,220,2026-01-04 16:37:29.034929
87,-1,-1,220,220,2026-01-04 16:37:29.073242
88,-1,-1,220,220,2026-01-04 16:37:29.110764
89,-1,-1,220,220,2026-01-04 16:37:29.152464
90,-1,-1,220,220,2026-01-04 16:37:29.201382
91,-1,-1,220,220,2026-01-04 16:37:29.242319
92,-1,-1,220,220,2026-01-04 16:37:29.294031
93,-1,-1,220,220,2026-01-04 16:37:29.333901
94,-1,-1,220,220,2026-01-04 16:37:29.362416
95,-1,-1,220,220,2026-01-04 16:37:29.394874
96,-1,-1,220,220,2026-01-04 16:37:29.435171
97,-1,-1,220,220,2026-01-04 16:37:29.468116
98,-1,-1,220,220,2026-01-04 16:37:29.504047
99,-1,-1,220,220,2026-01-04 16:37:29.541701
100,-1,-1,220,220,2026-01-04 16:37:29.563897
101,-1,-1,220,220,2026-01-04 16:37:29.596063
102,-1,-1,220,220,2026-01-04 16:37:29.656188
103,-1,-1,220,220,2026-01-04 16:37:29.709316
104,-1,-1,220,220,2026-01-04 16:37:29.751038
105,-1,-1,220,220,2026-01-04 16:37:29.774633
106,-1,-1,220,220,2026-01-04 16:37:29.804447
107,-1,-1,220,220,2026-01-04 16:37:29.826668
108,-1,-1,220,220,2026-01-04 16:37:29.866646
109,-1,-1,220,220,2026-01-04 16:37:29.897988
110,-1,-1,220,220,2026-01-04 16:37:29.920195
111,-1,-1,220,220,2026-01-04 16:37:29.948786
112,-1,-1,220,220,2026-01-04 16:37:29.988794
113,-1,-1,220,220,2026-01-04 16:37:30.010558
114,-1,-1,220,220,2026-01-04 16:37:30.038747
115,-1,-1,220,220,2026-01-04 16:37:30.058451
116,-1,-1,220,220,2026-01-04 16:37:30.082958
117,-1,-1,220,220,2026-01-04 16:37:30.111197
118,-1,-1,220,220,2026-01-04 16:37:30.128620
119,-1,-1,220,220,2026-01-04 16:37:30.147864
120,-1,-1,220,220,2026-01-04 16:37:30.191906
121,-1,-1,220,220,2026-01-04 16:37:30.235643
122,-1,-1,220,220,2026-01-04 16:37:30.261937
123,-1,-1,220,220,2026-01-04 16:37:30.288834
124,-1,-1,220,220,2026-01-04 16:37:30.319277
125,-1,-1,220,220,2026-01-04 16:37:30.359859
126,-1,-1,220,220,2026-01-04 16:37:30.394145
127,-1,-1,220,220,2026-01-04 16:37:30.437847
128,-1,-1,220,220,2026-01-04 16:37:30.464562
129,-1,-1,220,220,2026-01-04 16:37:30.502349
130,-1,-1,220,220,2026-01-04 16:37:30.525330
131,-1,-1,220,220,2026-01-04 16:37:30.565654
132,-1,-1,220,220,2026-01-04 16:37:30.594306
133,-1,-1,220,220,2026-01-04 16:37:30.626725
134,-1,-1,220,220,2026-01-04 16:37:30.662166
135,-1,-1,220,220,2026-01-04 16:37:30.691716
136,-1,-1,220,220,2026-01-04 16:37:30.722646
137,-1,-1,220,220,2026-01-04 16:37:30.771159
138,-1,-1,220,220,2026-01-04 16:37:30.794539
139,-1,-1,220,220,2026-01-04 16:37:30.852575
140,-1,-1,220,220,2026-01-04 16:37:30.910368
141,-1,-1,220,220,2026-01-04 16:37:30.956308
142,-1,-1,220,220,2026-01-04 16:37:31.004093
143,-1,-1,220,220,2026-01-04 16:37:31.049663
144,-1,-1,220,220,2026-01-04 16:37:31.078470
145,-1,-1,220,220,2026-01-04 16:37:31.113381
146,-1,-1,220,220,2026-01-04 16:37:31.151442
147,-1,-1,220,220,2026-01-04 16:37:31.198163
148,-1,-1,220,220,2026-01-04 16:37:31.232546
149,-1,-1,220,220,2026-01-04 16:37:31.274340
150,-1,-1,220,220,2026-01-04 16:37:31.302409
151,-1,-1,220,220,2026-01-04 16:37:31.336704
152,-1,-1,220,220,2026-01-04 16:37:31.372252
153,-1,-1,220,220,2026-01-04 16:37:31.404624
154,-1,-1,220,220,2026-01-04 16:37:31.435525
155,-1,-1,220,220,2026-01-04 16:37:31.471404
156,-1,-1,220,220,2026-01-04 16:37:31.496987
157,-1,-1,220,220,2026-01-04 16:37:31.545087
158,-1,-1,220,220,2026-01-04 16:37:31.578811
159,-1,-1,220,220,2026-01-04 16:37:31.629769
160,-1,-1,220,220,2026-01-04 16:37:31.667875
161,-1,-1,220,220,2026-01-04 16:37:31.717525
162,-1,-1,220,220,2026-01-04 16:37:31.763980
163,-1,-1,220,220,2026-01-04 16:37:31.801973
164,-1,-1,220,220,2026-01-04 16:37:31.834585
165,-1,-1,220,220,2026-01-04 16:37:31.877694
166,-1,-1,220,220,2026-01-04 16:37:31.918947
167,-1,-1,220,220,2026-01-04 16:37:31.938876
168,-1,-1,220,220,2026-01-04 16:37:31.968490
169,-1,-1,220,220,2026-01-04 16:37:32.030257
170,-1,-1,220,220,2026-01-04 16:37:32.089679
171,-1,-1,220,220,2026-01-04 16:37:32.125495
172,-1,-1,220,220,2026-01-04 16:37:32.152692
173,-1,-1,220,220,2026-01-04 16:37:32.181080
174,-1,-1,220,220,2026-01-04 16:37:32.208464
175,-1,-1,220,220,2026-01-04 16:37:32.234740
176,-1,-1,220,220,2026-01-04 16:37:32.264353
177,-1,-1,220,220,2026-01-04 16:37:32.298968
178,-1,-1,220,220,2026-01-04 16:37:32.339815
179,-1,-1,220,220,2026-01-04 16:37:32.373852
180,-1,-1,220,220,2026-01-04 16:37:32.414810
181,-1,-1,220,220,2026-01-04 16:37:32.452009
182,-1,-1,220,220,2026-01-04 16:37:32.491050
183,-1,-1,220,220,2026-01-04 16:37:32.522445
184,-1,-1,220,220,2026-01-04 16:37:32.552221
185,-1,-1,220,220,2026-01-04 16:37:32.579116
186,-1,-1,220,220,2026-01-04 16:37:32.615439
187,-1,-1,220,220,2026-01-04 16:37:32.651859
188,-1,-1,220,220,2026-01-04 16:37:32.677554
189,-1,-1,220,220,2026-01-04 16:37:32.706639
190,-1,-1,220,220,2026-01-04 16:37:32.743802
191,-1,-1,220,220,2026-01-04 16:37:32.794485
192,-1,-1,220,220,2026-01-04 16:37:32.817374
193,-1,-1,220,220,2026-01-04 16:37:32.859233
194,-1,-1,220,220,2026-01-04 16:37:32.894901
195,-1,-1,220,220,2026-01-04 16:37:32.929178
196,-1,-1,220,220,2026-01-04 16:37:32.961103
197,-1,-1,220,220,2026-01-04 16:37:33.000417
198,-1,-1,220,220,2026-01-04 16:37:33.026064
199,-1,-1,220,220,2026-01-04 16:37:33.051161
200,-1,-1,220,220,2026-01-04 16:37:33.083412
201,-1,-1,220,220,2026-01-04 16:37:33.115910
202,-1,-1,220,220,2026-01-04 16:37:33.166462
203,-1,-1,220,220,2026-01-04 16:37:33.198407
204,-1,-1,220,220,2026-01-04 16:37:33.233751
205,-1,-1,220,220,2026-01-04 16:37:33.272854
206,-1,-1,220,220,2026-01-04 16:37:33.305444
207,-1,-1,220,220,2026-01-04 16:37:33.333745
208,-1,-1,220,220,2026-01-04 16:37:33.367743
209,-1,-1,220,220,2026-01-04 16:37:33.422625
210,-1,-1,220,220,2026-01-04 16:37:33.479031
211,-1,-1,220,220,2026-01-04 16:37:33.528105
212,-1,-1,220,220,2026-01-04 16:37:33.557436
